equipment_id,temperature,vibration,pressure,age_hours,load,failure,inspection_date
EQ001,82.3,3.5,118.2,2300,0.75,0,2025-01-15
EQ002,91.7,4.2,125.8,4100,0.92,1,2025-01-15
EQ003,74.1,2.8,121.5,1200,0.55,0,2025-01-16
EQ004,88.5,3.9,115.3,3500,0.88,1,2025-01-16
EQ005,76.8,3.1,119.7,1800,0.62,0,2025-01-17
EQ006,95.2,4.8,130.1,4800,0.95,1,2025-01-17
EQ007,71.3,2.5,122.0,900,0.48,0,2025-01-18
EQ008,84.6,3.7,117.5,2700,0.78,0,2025-01-18
EQ009,90.1,4.1,128.3,3900,0.90,1,2025-01-19
EQ010,73.5,2.9,120.8,1500,0.58,0,2025-01-19
